MSNA_time,BP,ECG,MSNA_v,MSNA_filt,MSNA_v_zeroed,MSNA_vjust
889.32,-4.6875e-5,-0.1021387,0.1165454,0.0019130855977556938,0.002929513330865061,0
889.36,-5.859375e-5,-0.0928789,0.1126633,7.353558890769218e-4,-1.0233986999810211e-4,0
889.4,-5.078125e-5,-0.08271093,0.1127158,-3.9497844935089936e-4,-5.0210090849881724e-5,0
889.44,-6.25e-5,-0.06917578,0.1102316,-0.0012382923619826665,-0.0019863921660964587,0
889.48,-5.078125e-5,-0.05694531,0.1106452,-0.0016770809762989777,-0.0016515483599420027,0
889.52,-5.078125e-5,-0.06344336,0.1101768,-0.0017316231081337184,-0.002008290347136658,0
889.56,-6.640625e-5,0.01894922,0.1110634,-0.0016301238675143174,-0.0013032799452835663,0
889.6,-5.46875e-5,0.00684375,0.112168,-0.0020307910867969335,-4.276036570699288e-4,0
889.64,-5.078125e-5,-0.04383008,0.1082488,-0.003325678260244911,-0.0034897255156841607,0
889.68,-4.6875e-5,0.05086328,0.1053347,-0.004408327791690434,-0.005764585865185058,0
889.72,-6.640625e-5,0.8049101,0.1067966,-0.004282382834424504,-0.004610381426431068,0
889.76,-6.25e-5,-0.196541,0.1090178,-0.0035037295898132682,-0.002861754224261939,0
889.8,-5.46875e-5,-0.1834121,0.1094591,-0.0029433360962689255,-0.002508691571289838,0
889.84,-4.6875e-5,-0.1217617,0.1096534,-0.002807089801183952,-0.0023496274464408677,0
889.88,-5.859375e-5,-0.02621484,0.1095501,-0.003128780692888483,-0.002424197776930767,0
889.92,-5.46875e-5,0.1341094,0.1076653,-0.0038074870664784296,-0.0038955176601879102,0
889.96,-4.6875e-5,0.246082,0.106076,-0.004129378843194,-0.00513583535862855,0
890,-5.46875e-5,0.03583203,0.1082015,-0.003644317297699977,-0.0034652475600250904,0
890.04,-3.90625e-5,-0.183166,0.1097104,-0.002967281340806172,-0.002278507437146489,0
890.08,-4.6875e-5,-0.1822734,0.1091722,-0.0025461525125143702,-0.002696675166425758,0
890.12,-5.859375e-5,-0.140834,0.1102273,-0.0022015331003038823,-0.001866416065743931,0
890.16,-4.296875e-5,-0.1137129,0.1105326,-0.002007574082909559,-0.001624156326589666,0
890.2,-3.515625e-5,-0.09296094,0.1103047,-0.0021352989858295117,-0.0018000833259271675,0
890.24,-3.515625e-5,-0.08541211,0.1091582,-0.00236320125350186,-0.0026963072108395713,0
890.28,-3.125e-5,-0.07633008,0.1102585,-0.0025903391262795,-0.0018318809983956987,0
890.32,-3.515625e-5,-0.06096289,0.1088616,-0.003073939103256244,-0.0029250873100978235,0
890.36,-3.125e-5,-0.04804297,0.1065793,-0.0032727453802347305,-0.004712745509148004,0
890.4,-5.078125e-5,-0.04266406,0.1100631,-0.0026833596934500606,-0.0019815913503909524,0
890.44,-3.90625e-5,-0.04105469,0.1112552,-0.0023145804561751143,-0.0010470193425666842,0
890.48,-2.34375e-5,8.535156e-4,0.1087708,-0.0026991153252003595,-0.002994309132553405,0
890.52,-4.296875e-5,0.02242383,0.1073028,-0.0027081624860839986,-0.004145402063913008,0
890.56,-5.46875e-5,-0.05931641,0.1104943,-0.0016108192152709984,-0.0016449629001099534,0
890.6,-4.296875e-5,-0.07031446,0.1129725,-9.585155036753157e-5,2.9612112841321175e-4,0
890.64,-3.515625e-5,0.9705879,0.1145554,0.0010446577325320455,0.0015355022057897878,0
890.68,-5.078125e-5,-0.18853519999999999,0.1148317,0.0016844152194987652,0.0017509928834039989,0
890.72,-3.125e-5,-0.1996387,0.1160903,0.001728816486881246,0.002736701719940049,0
890.76,-3.125e-5,-0.1390273,0.1144002,8.827144539307898e-4,0.0014116069751897234,0
890.8,-1.953125e-5,-0.04568945,0.1107744,-3.048286555336172e-4,-0.0014304958546599998,0
890.84,-3.515625e-5,0.1109609,0.109836,-4.580581910914409e-4,-0.002166399724086207,0
890.88,-4.296875e-5,0.2561641,0.1133687,8.334665495283773e-4,6.018702569514612e-4,0
890.92,-4.296875e-5,0.1120547,0.1165628,0.0025510334771144698,0.0031048354734550705,0
890.96,-1.171875e-5,-0.1787871,0.1173058,0.00391792182491662,0.003687081671160889,0
891,-2.34375e-5,-0.2109551,0.119379,0.004894485011408303,0.005312541078142227,0
891.04,-2.734375e-5,-0.1559727,0.1212945,0.004789918893376322,0.006815231811917701,0
891.08,-2.34375e-5,-0.1285547,0.1164855,0.0030665130041716035,0.0030482337684530833,0
891.12,-3.90625e-5,-0.1007949,0.1123734,8.730510050580763e-4,-1.720420981767602e-4,0
891.16,-2.34375e-5,-0.08743164,0.1095261,-4.642674618642004e-5,-0.0024009757157169103,0
891.2,-2.34375e-5,-0.07458594,0.1139241,6.193811096607426e-4,0.001048687498335873,0
